"Age","MeanDNE.Apex","MedianDNE.Apex","IQRDNE.Apex","TotalDNE.TotalPolygonFaces","MedianDNE.Whole","IQRDNE.Whole","MeanDNE.Convex","MeanDNE.Concave","Proportion.DNEunder0.0001","Proportion.DNEover0.6","PCQDA_Estimated","PCR_pred","PCLR_pred"
84,0.038872,0.019071,0.032716,0.020316,0.013764,0.024486,0.021788,0.027481,0.004224,0.001146,2,59.94380254,1
91,0.036377,0.017189,0.030249,0.042967,0.01239,0.03166,0.033171,0.036156,0.002437,0.004085,2,54.04626968,1
71,0.038958,0.021009,0.044545,0.023411,0.010082,0.026828,0.021429,0.02987,0.004962,0.002093,2,61.37463777,1
40,0.027917,0.012993,0.020626,0.019776,0.004264,0.014964,0.019741,0.021814,0.005006,0.001061,3,66.01279866,2
30,0.023005,0.003805,0.014807,0.01237,0.002973,0.014407,0.015178,0.015906,0.006254,0.000523,3,63.47259013,1
85,0.051102,0.011478,0.038948,0.037647,0.011098,0.031364,0.026394,0.031874,0.003581,0.002645,2,50.85089101,1
34,0.023396,0.008084,0.017133,0.007556,0.005274,0.014708,0.020351,0.016652,0.005916,0.000789,2,61.74374166,1
24,0.025203,0.003106,0.014981,0.010017,0.006488,0.010475,0.017258,0.017756,0.008929,0.001581,2,46.33642818,1
40,0.025401,0.007943,0.024964,0.023014,0.004316,0.017415,0.016557,0.017445,0.008031,0.001228,2,54.83239681,1
39,0.020008,0.007003,0.016607,0.009794,0.005931,0.019867,0.021617,0.013228,0.005351,0.000484,2,50.52693996,1
30,0.02504,0.006004,0.016765,0.020454,0.006763,0.008543,0.018623,0.013369,0.005399,0.00151,2,53.52148911,1
72,0.019429,0.017168,0.034857,0.016975,0.009154,0.021397,0.026661,0.020893,0.005203,0.001012,2,60.12630763,1
49,0.047902,0.019265,0.026839,0.020851,0.005359,0.028764,0.024026,0.025357,0.004872,0.001376,2,60.20230354,1
86,0.042696,0.016653,0.034285,0.033538,0.013527,0.030011,0.024174,0.029769,0.003749,0.002708,3,66.72530346,1
37,0.026048,0.006078,0.024403,0.025627,0.008235,0.01844,0.020729,0.015128,0.005239,0.000386,2,53.13013291,1
52,0.027951,0.019149,0.030815,0.029512,0.006334,0.015816,0.014932,0.022697,0.006129,0.001782,2,46.89391172,1
66,0.039909,0.009328,0.024794,0.023617,0.011055,0.023214,0.020243,0.018882,0.003689,0.002753,2,56.19201029,1
74,0.047303,0.02344,0.040896,0.023119,0.011953,0.027305,0.02049,0.028574,0.004607,0.002356,3,65.85096204,2
72,0.043896,0.013909,0.03367,0.022833,0.011517,0.026659,0.024076,0.02739,0.002142,0.002366,3,68.25601633,1
42,0.018362,0.016915,0.021093,0.026525,0.004513,0.01022,0.022037,0.027692,0.004551,0.001908,3,71.54905045,2
47,0.032144,0.019733,0.03395,0.02158,0.005546,0.014518,0.015267,0.022889,0.005579,0.001555,3,68.151435,2
34,0.029438,0.007423,0.019446,0.013634,0.006476,0.019315,0.019411,0.010928,0.007597,0.000402,2,52.53550915,1
26,0.026556,0.004206,0.016253,0.01418,0.007009,0.011728,0.014692,0.014176,0.008322,0.000775,2,50.09914066,1
38,0.02874,0.010448,0.017967,0.011224,0.005287,0.018683,0.018215,0.020603,0.005619,0.000417,2,51.12851662,1
64,0.044916,0.012975,0.016012,0.008533,0.008239,0.023746,0.025391,0.032297,0.005966,0.002394,3,53.63235523,1
61,0.022581,0.011866,0.029834,0.02473,0.011503,0.0192,0.020101,0.020431,0.001817,0.002599,2,60.89219949,1
77,0.02789,0.015104,0.03849,0.024175,0.007756,0.027782,0.019337,0.027911,0.004797,0.003697,3,58.63020404,1
64,0.038691,0.010329,0.040947,0.024615,0.013455,0.02977,0.026371,0.031823,0.004002,0.001551,3,67.5312107,2
49,0.03138,0.014042,0.024094,0.021317,0.00768,0.014346,0.025629,0.01762,0.004704,0.001879,3,66.51303919,2
53,0.046295,0.009042,0.033183,0.02122,0.004043,0.020459,0.024234,0.029327,0.005884,0.002644,2,60.22897294,1
57,0.032756,0.019635,0.025673,0.019655,0.008134,0.025528,0.023219,0.026218,0.005415,0.001785,3,68.08899642,2
75,0.034225,0.016597,0.018096,0.02702,0.011762,0.023135,0.025277,0.031605,0.006053,0.003172,3,57.30409888,1
39,0.029278,0.008142,0.017738,0.007625,0.009901,0.0187,0.020396,0.01472,0.00537,0.000536,2,54.57863679,1
34,0.025854,0.008047,0.013489,0.010341,0.004529,0.019648,0.015868,0.015792,0.007073,0.001186,2,48.72333386,1
